AFG;AFG;Afghanistan
AIA;AIA;Anguilla
ALB;ALB;Albania
ALG;ALG;Algeria
ALG;ALG 1;Algeria 1
ALG;ALG 4;Algeria 4
AM;AM;Amalfi
AND;AND;Andorra
ANG;AGO;Angola
ANT;ATG;Antigua and Barbuda
ARG;ARG;Argentina
ARM;ARM;Armenia
ARU;ABW;Aruba
ASM;ASM;American Samoa
AUS;AUS;Australia
AUS;AUS S;Trinity College Australia
AUS;AUS S1;Trinity College Australia 1
AUS;AUS S2;Trinity College Australia 2
AUS;AUS S3;Trinity College Australia 3
AUS;AUS S4;Trinity College Australia 4
AUT;AUT;Austria
AZE;AZE;Azerbaijan
BAH;BHS;Bahamas
BAN;BGD;Bangladesh
BAR;BRB;Barbados
BDI;BDI;Burundi
BEL;BEL;Belgium
BEL;BEL 1;Belgium 1
BEL;BEL 2;Belgium 2
BEN;BEN;Benin
BHU;BTN;Bhutan
BHZ;BLZ;Belize
BIH;BIH;Bosna and Herzegowina
BIR;MMR;Myanmar
BLR;BLR;Belarus
BMU;BMU;Bermuda
BOL;BOL;Bolivia
BOT;BWA;Botswana
BRA;BRA;Brazil
BRN;BHR;Bahrein
BRU;BRN;Brunei Darussalam
BUL;BGR;Bulgaria
BUL;BUL;Bulgaria
BUL;BUL 1;Bulgaria 1
BUL;BUL 2;Bulgaria 2
BUL;BUL 3;Bulgaria 3
BUR;BFA;Burkina Faso
BVT;BVT;Bouvet Island
CAM;CMR;Cameroon
CAN;CAN;Canada
CAN;CAN 1;Canada 1
CAN;CAN 2;Canada 2
CCK;CCK;Cocos (Keeling) Island
CHI;CHI;Chile
CIA;TCD;Chad
CIV;CIV;Cote d'Ivoire
COK;COK;Cook Island
COL;COL;Colombia
COM;COM;Comoros
CRC;CRI;Costa Rica
CRO;CRO;Croatia
CRO;CRO 1;Croatia 1
CUB;CUB;Cuba
CXR;CXR;Christmas Island
CYM;CYM;Cayman Island
CYP;CYP;Cyprus
CZE;CZE;Czech Republic
CZE;CZE 1;Czech Republic 1
CZE;CZE 2;Czech Republic 2
CZE;CZE 3;Czech Republic 3
CZE;CZE 4;Czech Republic 4
DEN;DEN;Denmark
DEN;DEN 1;Denmark 1
DEN;DNK;Denmark
DJI;DJI;Djibouti
DOM;DOM;Dominican Republic
EAU;UGA;Uganda
ECD;ECU;Ecuador
EGY;EGY;Egypt
EGY;EGY 1;Egypt 1
EGY;EGY 2;Egypt 2
ERI;ERI;Eritrea
ESA;ESA;El Salvator
ESA;ESA 2;El Salvator 2
ESH;ESH;Western Sahara
ESP;ESP;Spain
ESP;ESP 1;Spain 1
ESP;ESP 2;Spain 2
ESP;ESP 3;Spain 3
ESP;ESP 4;Spain 4
EST;EST;Estonia
EST;EST 1;Estonia 1
ETH;ETH;Ethiopia
FIN;FIN;Finland
FIN;FIN 1;Finland 1
FIN;FIN S;Finland Club
FJI;FJI;Fiji
FLK;FLK;Falkland Islands (Malvinas)
FRA;FRA;France
FRA;FRA 2;France 2
FRO;FRO;Faroe Island
FSM;FSM;Micronesia Federal States of
GAB;GAB;Gabon
GBM;GBM;Isle of Man
GBR;GBR;United Kingdom
GCA;GTM;Guatemala
GE;GE;Genova
GEO;GEO;Georgia
GEO;GEO 1;Georgia 1
GER;DEU;Germany
GER;GER;Germany
GER;GER 1;Germany 1
GER;GER 2;Germany 2
GER;GER S;Germany Club
GER;GER S1;Germany Club 1
GHN;GHA;Ghana
GIB;GIB;Gibraltar
GLP;GLP;Guadeloupe
GRE;GRE;Greece
GRE;GRE 1;Greece 1
GRE;GRE 2;Greece 2
GRE;GRE 3;Greece 3
GUA;GUM;Guam
GUF;GUF;French Guyana
GUP;GNB;Guinea Bissau
GUS;GIN;Guinea
GYF;GUY;Guyana
HKG;HKG;Hong Kong
HON;HND;Honduras
HUN;HUN;Hungary
HUN;HUN 1;Hungary 1
HUN;HUN 2;Hungary 2
ICV;CPV;Cape Verde
IMV;MDV;Maldives
IND;IND;India
IND;IND 1;India 1
IRL;IRL;Ireland
IRL;IRL 1;Ireland 1
IRL;IRL 2;Ireland 2
IRL;IRL S;QUEENS UNI BELFAST
IRN;IRN;Iran
IRQ;IRQ;Iraq
ISB;SLB;Solomon Islands
ISL;ISL;Iceland
ISR;ISR;Israel
ISR;ISR 1;Israel 1
ISR;ISR 2;Israel 2
ISR;ISR 3;Israel 3
ISR;ISR S;Israel Club
ITA;ITA;Italy
ITA;ITA 1;Italy 1
ITA;ITA 2;Italy 2
ITA;ITA 3;Italy 3
ITA;ITA 4;Italy 4
ITA;ITA 5;Italy 5
ITA;ITA 6;Italy 6
ITA;ITA 7;Italy 7
ITA;ITA 8;Italy 8
ITA;ITA 9;Italy 9
ITA;ITA S;Italy Club
ITA;ITA S1;Italy Club 1
ITA;ITA S10;Italy Club 10
ITA;ITA S11;Italy Club 11
ITA;ITA S2;Italy Club 2
ITA;ITA S3;Italy Club 3
ITA;ITA S4;Italy Club 4
ITA;ITA S5;Italy Club 5
ITA;ITA S6;Italy Club 6
ITA;ITA S7;Italy Club 7
ITA;ITA S8;Italy Club 8
ITA;ITA S9;Italy Club 9
ITA;ITA SA;Italy Club
ITA;ITA SOC;Italy Club
ITA;ITA SP;Italy Club P
IVS;VIR;Virgin Island (U.S.)
JAM;JAM;Jamaica
JOR;JOR;Jordan
JPN;JPN 1;Japan 1
JPN;JPN 2;Japan 2
JPN;JPN 3;Japan 3
JPN;JPN C1;Japan Club
KAM;KHM;Cambodia
KAZ;KAZ;Kazakhstan
KEN;KEN;Kenya
KIR;KGZ;Kyrghizistan
KNA;KNA;Saint Kitts And Nevis
KRB;KIR;Kiribati
KWT;KWT;Kuwait
LAO;LAO;Lao People's Democratic Republic
LAR;LBY;Libyan Arab Jamahiriya
LAT;LAT 1;Latvia
LAT;LVA;Latvia
LAT;LVA 1;Latvia
LBA;LBA;"	Libyan"
LBR;LBR;Liberia
LIE;LIE;Liechtenstein
LST;LSO;Lesotho
LTU;LTU;Lithuania
LTU;LTU 1;Lithuania 1
LTU;LTU 2;Lithuania 2
LTU;LTU 3;Lithuania 3
LUX;LUX;Luxembourg
MAC;MAC;Macau
MAL;MYS;Malaysia
MAR;MAR;Morocco
MCM;MNP;Northern Mariana Island
MCP;MCO;Monaco
MEX;MEX;Mexico
MEX;MEX 1;Mexico 1
MEX;MEX 2;Mexico 2
MEX;MEX 3;Mexico 3
MGL;MNG;Mongolia
MHL;MHL;Marshall Islands
MKD;MKD;Macedonia
MLT;MLT;Malta
MOL;MDA;Moldova
MON;MON;Monaco
MON1;MON1;Montenegro
MOZ;MOZ;Mozambique
MSR;MSR;Montserrat
MSZ;MUS;Mauritius
MTQ;MTQ;Martinique
MWI;MWI;Malawi
MYT;MYT;Mayotte
NAM;NAM;Namibia
NCL;NCL;New Caledonia
NED;NED;Netherlands
NED;NED 1;Netherlands 1
NED;NED 2;Netherlands 2
NED;NLD;Netherlands
NEP;NPL;Nepal
NIC;NIC;Nicaragua
NIG;NER;Niger
NIU;NIU;Niue
NOR;NOR;Norway
NOR;NOR 1;Norway 1
NOR;NOR 2;Norway 2
NUU;NRU;Nauru
NZL;NZL;New Zealand
OMN;OMN;Oman
PAK;PAK;Pakistan
PAL;;Palestin
PAN;PAN;Panama
PAU;PLW;Palau
PCN;PCN;Pitcairn
PER;PER;Peru
PI;PI;Pisa
PLO;PYF;French Polynesia
PNG;PNG;Papua New Guinea
POL;POL;Poland
POR;POR;Portugal
POR;POR 1;Portugal 1
POR;POR 2;Portugal 2
PRI;PRI;Puerto Rico
PYG;PRY;Paraguay
QQQ;QAT 1;Quatar 1
RCA;CAF;Central African Republic
RCB;COG;Congo
RCH;CHL;Chile
RDC;COD;Congo The Democratic Republic of
RDW;TWN;Taiwan
REU;REU;Reunion
RHT;HTI;Haiti
RIM;MRT;Mauritania
RIN;INA;Indonesia
RLB;LBN;Lebanon
RMG;MDG;Madagascar
RMM;MLI;Mali
ROK;KOR;Korea Republic of
ROM;ROM;Romania
ROU;ROU;Romania
ROU;ROU 1;Romania 1
RPC;CHN;China
RPK;PRK;Korea Democratic People's Replubic of
RPP;PHL;Philippines
RPV;VNM;Viet Nam
RSA;RSA;South Africa
RSA;RSA 1;South Africa 1
RSA;RSA 2;South Africa 2
RSM;SMR;San Marino
RUS;RUS;Russian Fed.
RUS;RUS 1;Russian Fed. 1
RWA;RWA;Rwanda
SAA;SAU;Saudi Arabia
SAL;SLV;El Salvator
SCV;VAT;Holy See
SDZ;SWZ;Swaziland
SGP;SGP;Singapore
SHN;SHN;St. Helena
SJM;SJM;Svalbard And Jan Mayer Island
SKV;SVK;Slovakia
SLK;LKA;Sri Lanka
SLO;SLO 1;Slovenia
SLO;SVN;Slovenia
SME;SUR;Suriname
SNG;SEN;Senegal
SOM;SOM;Somaila
SPM;SPM;St. Pierre and Miquelon
SRB;SRB;Serbia
SRB;SRB 1;Serbia 1
SRB;SRB 2;Serbia 2
STP;STP;Sao Tome & Principe
SUD;SDN;Sudan
SUI;SUI;Switzerland
SUI;SUI 2;Switzerland 2
SUI;SUI 4;Switzerland 4
SUI;SUI S;Runderclub Thalwil
SUI;SUI S1;Switzerland Club 1
SWE;SWE;Sweden
SWE;SWE 1;Sweden 1
SYC;SYC;Seychelles
SYR;SYR;Syrian Arab Republic
TAN;TZA;Tanzania
TCA;TCA;Turks and Caicos Island
TGO;TGO;Togo
THA;THA;Thailand
TJK;TJK;Tajikistan
TKL;TKL;Tokelau
TKM;TKM;Turkmenistan
TMP;TMP;East Timor
TON;TON;Tonga
TTG;TTO;Trinidad & Tobago
TUN;TUN;Tunisia
TUN;TUN 1;Tunisia 1
TUN;TUN 2;Tunisia 2
TUR;TUR;Turkey
TUV;TUV;Tuvalu
UAE;ARE;United Arab Emirates
UAE;UAE;United Arab Emirates
UKR;UKR;Ukraine
UKR;UKR 1;Ukraine 1
UKR;UKR 2;Ukraine 2
UKR;UKR 3;Ukraine 3
UKR;UKR 4;Ukraine 4
UKR;UKR 5;Ukraine 5
URU;URY;Uruguay
USA;USA;United States of America
USA;USA S;United States of America
UZB;UZB;Uzbekistan
VAN;VUT;Vanuatu
VE;VE;Venezia
VEN;VEN;Venezuela
VER;VGB;Virgin Islands (British)
WAG;GMB;Gambia
WAL;SLE;Sierra Leone
WAN;NGA;Nigeria
WDM;DMA;Dominica
WGN;GRD;Grenada
WLF;WLF;Wallis and Futuna Island
WLL;LCA;Saint Lucia
WSO;WSM;Samoa
WVC;VTC;Saint Vincent and Grenadines
YEM;YEM;Yemen
YUG;YUG;Yugoslavia
ZAM;ZAM;Zambia
ZAM;ZMB;Zambia
ZIM;ZIM;Zimbawue
ZIM;ZIM 1;Zimbawue 1
ZIM;ZIM 2;Zimbawue 2
